Location,Total Followers
Greater New York City Area,7
Tel Aviv Area Israel,4
Petah Tikva Area Israel,3
Greater Los Angeles Area,3
Columbus Ohio Area,3
London United Kingdom,2
Rishon LeZion Area Israel,2
Greater Seattle Area,2
Orange County California Area,2
San Paulo Area Brazil,2
Baltimore Maryland Area,2
Bhimavaram Area India,2
Herzliya Area Israel,2
Selangor Malaysia,2
San Francisco Bay Area,2
Belo Horizonte Area Brazil,1
Ashkelon Area Israel,1
Bologna Area Italy,1
Greater New Orleans Area,1
Jacksonville Florida Area,1
Greater Salt Lake City Area,1
Washington D C Metro Area,1
Miami Fort Lauderdale Area,1
Guildford United Kingdom,1
Greater Chicago Area,1
Zurich Area Switzerland,1
Greater Boston Area,1
Judea and Samaria Area Israel,1
Chennai Area India,1
Cleveland Akron Ohio Area,1
Kingston upon Thames United Kingdom,1
Fargo North Dakota Area,1
Birmingham United Kingdom,1
Redhill United Kingdom,1
Dallas Fort Worth Area,1
Bielefeld Area Germany,1
Toluca Area Mexico,1
Portland Oregon Area,1
Porto Area Portugal,1
Austria area,1
Mumbai Area India,1
Pune Area India,1
New Delhi Area India,1
Charleston South Carolina Area,1
Phoenix Arizona Area,1
Toronto Canada Area,1
Mexico City Area Mexico,1
Beijing City China,1
